Date,Day,Leg,Hotel,Day title,Pace,Weather,High C,Low C,Day note
9/5/2026,Saturday,In transit,KE042 · Seattle to Incheon,"Seattle, and then eleven hours",Travel,travel,,,"Nothing today is optional and nothing today is flexible. Nine people, three car seats, and an international counter that wants everyone present. The only real decision is how early you leave the house.
Weather: Seattle at departure, Seoul on arrival. The only weather that matters today is whatever is waiting at ICN when you land — and that has improved: dry and around 27°C, where the long-range model had rain."
9/6/2026,Sunday,Park Hyatt,"Park Hyatt Seoul · Samseong, Gangnam","Land, connect, get horizontal",Light,cloud,27,17,"Landing at 16:40 with nine people means you are realistically not in a hotel room before 20:15, and possibly later. Plan nothing else. The order today is quarantine, immigration, bags, customs, and then the driver — before the eSIM counter or an ATM, because the operator only waits two hours from touchdown. Get the babies down and accept that the whole group will be awake at 03:00. For you and Jordan today is also the strict day before the colonoscopy, and that is the tightest collision anywhere in this plan: white porridge only, clear fluids from 18:00, the first bowel-prep dose in the evening, no food after 21:00 — all of it starting from a hotel room you walk into at 20:00. NaRhee is out of the colonoscopy now, so her evening is the ordinary checkup one: eat what she likes, then stop at 21:00. The single thing that makes the rest of it survivable is having the porridge and the sports drinks already in the room when you arrive.
Weather: The rain has dropped out. Overcast, dry, and 27°C at Incheon when you land — a real forecast now rather than a model guess. That takes pressure off the driver's two-hour cap, because a dry Sunday evening run into Gangnam is the fast version of that drive. Keep one rain layer reachable anyway; September here turns quickly."
9/7/2026,Monday,Park Hyatt,"Park Hyatt Seoul · Samseong, Gangnam","Checkups, and a very slow day for everyone else",Split,sun,28,19,"The group splits before dawn. Three adults go to the clinic fasted; six people stay behind on jet lag with breakfast included and nothing to prove. The one piece of luck in this day is geography — Kwangdong Hospital is at 612 Bongeunsa-ro, right beside COEX, about five minutes from the Park Hyatt. The three at the clinic and the six at the mall are within walking distance of each other all morning.
Weather: Mainly clear and 28°C — six degrees warmer than the model had it, and the drizzle is gone. Neutral for the three at the clinic. For the six who are not, it turns a write-off morning into the best outdoor window of the first leg, so the Hangang and neighbourhood time is worth actually taking rather than staying in."
9/8/2026,Tuesday,Park Hyatt,"Park Hyatt Seoul · Samseong, Gangnam",Gentle Gangnam,Light,sun,28,19,"Still climbing out of jet lag. One outdoor thing in the morning, one indoor thing in the afternoon, and nothing more than fifteen minutes from the hotel. Gyeongbokgung is closed on Tuesdays, so today deliberately skips the palaces and takes the short hop over Seongsu Bridge instead — Seoul Forest is the flattest, shadiest green space within reach of this hotel.
Weather: Clear and 28°C, and the sunny standout title has moved back to today after a day away — the forecast keeps trading it between the 7th and the 8th, which tells you how little separates them. Nothing needs moving. Sun at 28°C is warmer work than the cloud you were promised, so keep the Seoul Forest walk to the tree-lined paths and take the shade for the Seongsu wander with three children."
9/9/2026,Wednesday,Park Hyatt,"Park Hyatt Seoul · Samseong, Gangnam",Daejeon and back,Split · long day for three,cloud,28,20,"The one long-distance day, taken from the Park Hyatt leg on purpose: Suseo station is close to Samseong, and the high-speed train south from there is the fastest way to Daejeon. On a 10:00 train the morning is genuinely civilised — breakfast at the hotel, no pre-dawn wake-up for a seven-month-old, and you are still in Daejeon before midday. Everyone else has a deliberately unambitious day in Gangnam.
Weather: Overcast in both cities and the Daejeon drizzle has dropped out — down to a 10% chance and no measurable rain, where yesterday it was 20% and wet. That is one less thing to carry on a day that is already a train, a car, and a meal indoors. Bring the compact umbrella anyway if it is already in the bag, but you can stop planning around it."
9/10/2026,Thursday,Park Hyatt,"Park Hyatt Seoul · Samseong, Gangnam","Lotte World, on a Thursday",Full — the biggest day of the leg,cloud,24,19,"The amusement park day, deliberately on a weekday and deliberately at the one park that is mostly indoors. Jamsil is fifteen minutes from the hotel, which means the nap block can happen at the hotel rather than in a pushchair queue.
Weather: Overcast and noticeably cooler than modelled — 24°C rather than 27°C. Good news for the biggest walking day of the leg, but cool enough that both infants want a layer, which the 27°C version would not have needed."
9/11/2026,Friday,Insadong,Nine Tree Premier Insadong · Jongno,Move north,Light · moving day,cloud,26,17,"A deliberately thin morning and a real afternoon. Moving nine people and twelve days of luggage across the city is the whole job before lunch — the botox that used to sit here has moved to the 8th. But once the bags are down, this is the day the new neighbourhood is right outside the door, so the afternoon is a proper Insadong walking loop ending in Ikseon-dong, all of it flat and all of it within ten minutes of the room.
Weather: Overcast and 26°C, with the low down to 17°C — three degrees cooler overnight than yesterday's forecast had it. That is the useful number on a moving day: you check out in the morning and the bags go in and out of vehicles twice. Dress the infants for 17°C at the start of the day rather than the afternoon high, and Ssamziegil stays a preference rather than a rescue."
9/12/2026,Saturday,Insadong,Nine Tree Premier Insadong · Jongno,Museum day,Medium,cloud,28,19,"A Saturday, so the palaces and markets will be at their worst. The national museum is the opposite: enormous, flat, air-conditioned, lift-served throughout, and free to enter. It is the single most infant-and-grandparent-friendly major sight in Seoul.
Weather: Yesterday this was the wettest day of the trip at 8mm and a cold 22°C. It has reversed completely: dry, overcast, and back up to 28°C, with rain down to a 22% chance and nothing measurable. The museum was always weather-proof, so the real gain is the Yongsan add-on afterwards — the walking version is back on the table. Umbrellas can stay at the hotel."
9/13/2026,Sunday,Insadong,Nine Tree Premier Insadong · Jongno,"Hanbok, and the photographs",Full · hard call time,sun,26,18,"The one immovable morning of the trip. Nine people in hanbok, with hair and makeup, standing inside Heungnyemun Gate at 10:50. Everything before it is reverse-timed from it. The order matters and it is not the obvious one: makeup salons open at 08:00, hanbok shops do not open until 09:00, so makeup has to come first and the fitting has to start the minute the rental shop unlocks the door.
Weather: The best news of this update, on the one day that could not absorb bad weather. Yesterday the paid, fixed, outdoors 10:50 shoot was sitting under showers. Today it is clear sun at 26°C with rain down to a 16% chance and nothing measurable — and three degrees cooler than forecast, which matters when nine people are in hanbok with a toddler and two infants. Still worth asking the photographer's wet-weather plan, because it is nine days out. But you can stop planning around rain and start thinking about shade and water instead."
9/14/2026,Monday,Insadong,Nine Tree Premier Insadong · Jongno,"Mapo, and a market locals still use",Medium,cloud,25,17,"An easy morning in Jongno, then west after the nap. Gwangjang has been dropped on purpose — it has become a queue for a tourist photograph rather than a market, and it is a genuinely hard room for infants. Mangwon is the version that still works: a real neighbourhood market where people do their shopping, two stops from Hongdae, with a flat riverside park and the Gyeongui Line park next door. Today is a Monday, which is the quietest possible night to be on this side of the city.
Weather: This was the hottest day of the trip at 31°C with drizzle. It is now the mildest of the leg — dry, overcast, 25°C, and a low of 17°C. Six degrees is a lot to hand back, and it turns Mangwon from a heat-management problem into an easy evening. The 16:30 slot still works, and now you could go earlier without punishing anyone."
