Date,Day,Time,Activity,Location,Category,Notes
9/5/2026,Saturday,7:30 AM,Final pack and gear check,,Admin,"Ends 8:30 AM.
Passports, car seats, stroller tags, formula and pumped milk in carry-on, and one change of clothes per adult in the cabin bag. The last one is not optional with two infants.
Fallback: Anything forgotten is buyable in Seoul except prescription medication and your passports.
Verify: Confirm the US passport K-ETA exemption one month out. Re-check Q-Code within a week of flying.
Source: https://overseas.mofa.go.kr/us-en/brd/m_4502/view.do?seq=715890"
9/5/2026,Saturday,8:45 AM,Leave for Seattle–Tacoma,Seattle-Tacoma International Airport,Commute,"Ends 9:30 AM.
Four hours before an international departure with nine people, two of whom cannot walk. This looks excessive and it is not.
Watch out: Three car seats have to be checked or gate-checked. Decide which before you leave, not at the counter.
Where: SEA · International check-in, Korean Air"
9/5/2026,Saturday,12:50 PM,KE042 · Seattle to Incheon,Seattle-Tacoma International Airport,Commute,"Ends 4:40 PM.
From your sheet: Jordan and Jun will be on dietary restrictions the Saturday and Sunday before their medical appointment on Monday. Refer to the handout.
BOOKED — confirmed, do not move.
Arrives 16:40 on Sunday 6 September, Korea time. Bassinet bulkhead seats are worth chasing if they are not already assigned.
Watch out: Ask Korean Air for bassinet seats now. Infant weight limits apply.
Verify: Confirm KE042 arrives at ICN Terminal 2 so your driver waits in the right place.
Note: Sea-Tac has nursing rooms in all three concourses. Feed and pump before boarding.
Where: Departs SEA · arrives ICN"
9/5/2026,Saturday,1:30 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/5/2026,Saturday,,"Formula, solids, and diapers · decide before you pack (Both families)",,Admin,"Timing: Before you fly.
Diapers are trivial — every Emart, Homeplus and convenience store stocks every size, and Coupang delivers to hotels. Formula is not. If either baby is on a specific US brand, you either carry twelve days of it or you switch mid-trip in a foreign country, and neither is a decision to make at 3am on day four.
Fallback: Korean baby food pouches for the seven-month-old are sold at any CU or GS25, which solves solids without planning.
Watch out: Twelve days of formula for two infants is a suitcase. Work out the volume now and decide who carries it.
Watch out: Plan laundry twice, around the 9th at Park Hyatt and the 14th at Insadong. Neither hotel has self-service."
9/5/2026,Saturday,,"Carriers, strollers, and what actually gets used (Both families)",,Admin,"Timing: Before you fly.
Three children need three answers. Soft carriers for both infants most days, one lightweight fold-flat stroller for the toddler. Mangwon Market, the Ikseon-dong alleys and the palace gravel are all carrier-only in practice. The Hyundai Seoul and the National Museum are the opposite — wide, flat and lift-served, so the stroller earns its place there.
Fallback: KPLANZ rents strollers, car seats and travel cribs in Seoul if you would rather not fly with all of it.
Watch out: Lotte World, Gyeongbokgung, COEX, and the National Museum rent strollers on site.
Source: https://www.kplanz.com/rental-baby"
9/5/2026,Saturday,,The card you hope you never use,,Admin,"Timing: Before you fly.
Write the paediatric emergency room for each leg on a card, in Korean, and put one in each adult's wallet. A taxi driver at 22:00 with a sick baby does not want an English address read off a phone.
Fallback: Park Hyatt leg: Samsung Medical Center, about ten minutes. Insadong leg: Seoul National University Hospital, five to ten minutes. Yeongjong leg: Inha University Hospital in Incheon, about twenty-five.
Verify: Confirm each hospital has a 24-hour pediatric ER, and write the addresses in Korean.
Watch out: Confirm your travel medical insurance covers pediatric ER care in Korea for all three children."
9/5/2026,Saturday,,Nap window — Infants,,Rest,"Timing: on board until as they land.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/6/2026,Sunday,4:40 PM,KE042 lands at Incheon,Incheon International Airport,Commute,"BOOKED — confirmed, do not move.
Wheels down. The clock from here to the hotel door is the part people underestimate.
Note: Terminal 2 nursing room: Level 3 near Gate 1."
9/6/2026,Sunday,4:40 PM,"Immigration, baggage, stroller retrieval",,Admin,"Ends 6:10 PM.
From your sheet: estimated time capturing deboarding, immigration, and baggage claim is about 1 hour 20 minutes.
Ninety minutes, not sixty. A Sunday 16:40 arrival lands in a bank of long-haul flights, and three car seats plus two gate-checked strollers commonly take fifteen to twenty-five minutes to appear at oversized baggage after the carousel is already done. Both infants will need feeding before anyone gets in a vehicle.
Fallback: If the queue is brutal, send one adult ahead to baggage while the rest clear passport control together.
Watch out: Ask for the priority lane at Korean immigration. Families with infants can usually use it.
Verify: Confirm current arrival paperwork for Q-Code and customs before you fly.
Watch out: Ask the crew where gate-checked strollers will arrive before you deplane."
9/6/2026,Sunday,6:10 PM,Find the driver first — before anything else,Incheon International Airport Terminal 2,Commute,"Ends 6:20 PM.
The moment the last bag is on a trolley, one adult walks straight to the meeting point and makes contact with the driver. Not the eSIM counter, not the ATM. Everything else on this page can be done late; this cannot.
Fallback: If the driver is not at the board, call the operator before you go looking. Do not wander the hall — Terminal 2 arrivals has several meeting areas and they are far apart.
Watch out: The driver waits two hours from landing. KE042 lands 16:40, so the transfer is forfeit at 18:40.
Watch out: Send one adult ahead when bags are clear. Making contact stops the clock while the group catches up.
Verify: Carry the operator's phone number on paper, not only on a phone that may not have signal.
Where: ICN Terminal 2 arrivals — operator's meeting point"
