Date,Day,Time,Activity,Location,Category,Notes
9/5/2026,Saturday,7:30 AM,Final pack and gear check,,Admin,"Ends 8:30 AM.
Passports, car seats, stroller tags, formula and pumped milk in carry-on, and one change of clothes per adult in the cabin bag. The last one is not optional with two infants.
Fallback: Anything forgotten is buyable in Seoul except prescription medication and your passports.
Verify: Korea's K-ETA exemption for US passports currently runs through 31 December 2026, so you should not need one — but re-check about a month out, because this has been extended year by year rather than made permanent. Also re-check the Q-Code health declaration within a week of flying; the rules move.
Source: https://overseas.mofa.go.kr/us-en/brd/m_4502/view.do?seq=715890"
9/5/2026,Saturday,8:45 AM,Leave for Seattle–Tacoma,"SEA · International check-in, Korean Air",Commute,"Ends 9:30 AM.
Four hours before an international departure with nine people, two of whom cannot walk. This looks excessive and it is not.
Watch out: Three car seats have to be checked or gate-checked. Decide which before you leave, not at the counter."
9/5/2026,Saturday,12:50 PM,KE042 · Seattle to Incheon,Departs SEA · arrives ICN,Commute,"Ends 4:40 PM.
BOOKED — confirmed, do not move.
Arrives 16:40 on Sunday 6 September, Korea time. Bassinet bulkhead seats are worth chasing if they are not already assigned.
Watch out: Ask about bassinet seats now, not at the gate. Korean Air assigns them by request and infant weight limits apply.
Verify: Confirm which ICN terminal KE042 arrives into — Korean Air normally uses Terminal 2, which changes where your driver waits.
Note: Nursing rooms exist in all three Sea-Tac concourses. Feed and pump before boarding, not after."
9/5/2026,Saturday,1:30 PM,Nap window — Toddler,,Rest,"Ends 3:00 PM.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/5/2026,Saturday,,"Formula, solids, and diapers · decide before you pack (Both families)",,Admin,"Timing: Before you fly.
Diapers are trivial — every Emart, Homeplus and convenience store stocks every size, and Coupang delivers to hotels. Formula is not. If either baby is on a specific US brand, you either carry twelve days of it or you switch mid-trip in a foreign country, and neither is a decision to make at 3am on day four.
Fallback: Korean baby food pouches for the seven-month-old are sold at any CU or GS25, which solves solids without planning.
Watch out: Twelve days of formula for two infants is a suitcase in itself. Work out the volume now and decide who carries it.
Watch out: Two infants and a toddler over twelve days means laundry twice — realistically around the 9th at the Park Hyatt and the 14th at Insadong. Neither hotel has self-service, so it is hotel laundry at hotel prices. Budget it or pack more."
9/5/2026,Saturday,,"Carriers, strollers, and what actually gets used (Both families)",,Admin,"Timing: Before you fly.
Three children need three answers. Soft carriers for both infants most days, one lightweight fold-flat stroller for the toddler. Mangwon Market, the Ikseon-dong alleys and the palace gravel are all carrier-only in practice. The Hyundai Seoul and the National Museum are the opposite — wide, flat and lift-served, so the stroller earns its place there.
Fallback: KPLANZ rents strollers, car seats and travel cribs in Seoul if you would rather not fly with all of it.
Watch out: Lotte World, Gyeongbokgung, COEX and the National Museum all rent strollers on site. You do not need to carry one everywhere.
Source: https://www.kplanz.com/rental-baby"
9/5/2026,Saturday,,"Baby hanbok · buy it here, because you cannot rent it there (Both families)",,Admin,"Timing: Before you fly.
The 13th is the day the whole trip is photographed, and it is the one pre-trip errand with a hard deadline. Rental hanbok starts at 12 months across the entire Gyeongbokgung cluster — Hanboknam's floor is explicitly age one — so the 5-month-old and the 7-month-old cannot be dressed from shop stock on the morning. What fits them is a different garment: 백일 or 돌복 hanbok in size 0호, cut for 0 to 12 months. The 2-year-old is fine at every shop and needs nothing bought.
Fallback: If the sets do not arrive in time, buy them in Seoul — but note that Namdaemun is no longer on this itinerary, so this means a dedicated errand rather than a stop you were making anyway. Either way it lands after the shoot, so treat it as the true fallback, not the plan.
Watch out: Two ways to do this. Buy — Gmarket or Coupang online, or Namdaemun's children's section in person, roughly ₩15,000 to ₩50,000 a set. Or rent from a US seller and carry them over: Little Seouls runs about $35 to $65 with free return shipping, Meehee Hanbok in Los Angeles from about $40.
Watch out: If you are renting from a US seller, this is the item on the whole list with the least slack — it has to ship, fit, and fly with you. Order it first and order it now.
Verify: Haewadal Hanbok is the one shop reported to carry under-12-month sizes on request, and the report is unverified. A call to 0507-1315-7188 settles it, but the 0호 sets cost less than the risk of arriving without them.
Source: https://littleseouls.com/collections/girls-hanbok-rentals"
9/5/2026,Saturday,,The card you hope you never use,,Admin,"Timing: Before you fly.
Write the paediatric emergency room for each leg on a card, in Korean, and put one in each adult's wallet. A taxi driver at 22:00 with a sick baby does not want an English address read off a phone.
Fallback: Park Hyatt leg: Samsung Medical Center, about ten minutes. Insadong leg: Seoul National University Hospital, five to ten minutes. Yeongjong leg: Inha University Hospital in Incheon, about twenty-five.
Verify: Confirm each hospital runs a 24-hour paediatric emergency department, and get the addresses written in Korean.
Watch out: Confirm your travel medical insurance covers paediatric emergency care in Korea, for all three children, before you fly."
9/5/2026,Saturday,,Nap window — Infants,,Rest,"Timing: on board until as they land.
Nap window. Everything else on this day is sequenced around it — shift the nap, and check what it collides with."
9/6/2026,Sunday,4:40 PM,KE042 lands at Incheon,Incheon International Airport,Commute,"BOOKED — confirmed, do not move.
Wheels down. The clock from here to the hotel door is the part people underestimate.
Note: Nursing room at Terminal 2, Level 3 near Gate 1. Worth knowing before you need it."
